efield (kV/cm),t_ul (ps),z (A),g (cm/kA),fom* (eV ps A^2),Ediff (meV)
20.0,2.9517598703240164,-30.60835563602709,71.1266658230156,47.986491474025144,79.11300553985606
10.0,2.9355614277255646,31.40483811234778,84.20172014962836,69.88696398723671,97.72256467009592
10.0,2.8676124324316694,31.62315623330161,81.24706116937632,64.35831642537111,90.71318906704872
50.0,1.1800747065408834,-52.07387662565192,121.85446904273728,70.12310323689358,67.2054530560196
10.0,4.403310558255878,27.14996805435463,75.10932096131269,63.20585555043883,99.6998161695783
30.0,3.0993947393830616,28.756841324191004,73.18267920475745,45.53288099864722,74.73098870280751
50.0,0.9708990752080174,-51.620385508403814,77.01436301416899,42.11631501976793,66.395931460421
10.0,2.9035994174724067,30.040424704260925,77.38831075829471,63.99929937854995,96.515175939184
10.0,2.483762651280542,33.71602191104218,82.46054503946756,60.03007648814202,84.65612115830842
20.0,3.677812486536269,-26.31140665004587,80.79146347612539,116.4139366842926,164.8641416812549
50.0,1.024129490994539,-53.83138173097356,108.57123484997202,62.132372222276146,67.60683834964699
10.0,3.665956118466358,-28.77968380496788,74.48237743439978,67.80202166463721,105.86114526026088
50.0,13.212276673883396,10.76362115269027,75.43776078418495,44.58032000119713,70.15094979417813
10.0,2.134135385523383,34.733838200733736,86.59581549835838,68.05809895151758,91.22123228964644
20.0,4.742066282709223,-23.75397940668297,70.64292971454151,105.64863527609872,171.2180087343686
50.0,1.220218652239946,-50.64082244057904,114.6035632180885,67.14952252549439,69.17379913389549
10.0,2.696112107163122,32.821955603651,78.87674089330595,53.63702835632889,80.61277561075174
40.0,1.296889732731184,-47.17434533626627,92.07042711227793,47.13649194999407,62.16272293333907
10.0,2.8261854214251585,30.347051866116782,74.66023204900841,56.4317996174732,88.68195927067629
10.0,2.735324208882877,30.214376804909858,73.03201439674349,58.19728330981057,92.74603067598358
20.0,2.3063920017441597,-46.43200436760993,107.88941875425932,49.78762545093906,56.570737770199
10.0,3.765802459997478,28.98244889312488,79.18347839206476,74.4728973648103,106.46528547168856
50.0,4.284896517008005,-21.50018651380455,73.48064912843513,48.291893297070246,75.50333299666424
10.0,1.86754507687031,-38.87624118007597,96.97216997978924,74.13727848106902,91.17621137089807
20.0,1.8477705376864884,-37.86616196364229,83.02822953739599,60.75731027126961,87.42252343635789
10.0,1.818777390794588,37.01882848423581,79.66043516714205,50.11703078461012,76.85926390145396
20.0,1.0102776779437264,-47.87900030970337,87.63087360375393,53.84360775732414,75.1745100701235
