efield (kV/cm),t_ul (ps),z (A),g (cm/kA),fom* (eV ps A^2),Ediff (meV)
110.0,4.77188373142672,-21.109224792682603,50.29396633738517,57.317850887387245,126.94155468404604
120.0,6.830074366382156,-19.14670900838549,27.70187298018161,31.879263806367423,128.1593728147888
130.0,1.9996931957004245,-20.48557037485527,43.40169339453771,29.431956903965144,76.88024839945898
140.0,2.4190203202463,-19.081343128378087,48.16866478902472,35.85598834656107,83.96869174611173
150.0,2.8936360225045754,-18.169248055253515,49.42766288663675,39.997429189607494,90.95893114022306
10.0,2.3678252300752467,32.00622391432775,75.0823148868245,53.734906371484655,82.97222110928719
20.0,1.9145773046166443,-33.72857104679477,73.29920286243986,44.915504657450285,71.73106038781471
30.0,5.293783265766198,-21.34409882530189,57.87087415944568,90.70675210474376,178.34565311847297
40.0,155.40998992753637,-3.56908120642368,117.29211119177666,60.56205041719912,61.56956740402193
50.0,1.2138297464386472,-50.633790235905415,137.67157012095058,82.73998134060699,70.46322412586801
60.0,22.664218090213534,8.216832727734941,82.90170311712266,82.06020682223844,113.50639206925052
70.0,49.99355316349306,5.372338781891616,84.4775706162598,100.24450874193272,135.58610385732618
80.0,2.6727033718350586,-23.61211437817677,88.2728259638604,90.55457448023168,117.54074077621858
90.0,2.661016527392748,-24.03470557772871,97.3193253418952,104.4984541384812,122.9150838096874
100.0,2.6762688205332537,-24.83588125526257,90.52389589197908,100.57615821367622,127.09824609111725
110.0,2.772682818807666,-25.475421366792673,78.89162249430485,89.55001326214933,129.79873080780158
120.0,3.1605735358405607,-25.65214605123704,60.23504651427636,68.44358373923436,129.93047120168123
130.0,1.987531046938052,-21.09343121834415,59.23873369162222,39.135776149072825,76.93120086244892
140.0,2.1513279248682733,-20.850806452155823,62.2181365949601,45.2488684517484,84.2497318409853
150.0,2.482825304308943,-19.406205961740845,65.23048141037248,51.6708594408431,91.43349174878745
10.0,3.12436185869252,30.102596584072018,78.91893047060992,64.33665457825447,94.87640165623888
20.0,4.507068735142472,-24.24879448594796,74.67534900666116,114.5899989743617,176.32260787352524
30.0,4.598068036847577,-22.622526180450983,61.02045986941145,93.81795803967186,176.65961164838006
40.0,3.883822044945176,22.70943345882915,70.11031965754306,46.60470007174819,78.07741848919082
50.0,4.8282196671248325,-23.120729768997425,45.89487427696336,67.13085701051183,168.18557008100518
60.0,1.3769080080157468,-50.03379535348982,144.82940983601569,85.62730550694394,70.02265458105944
70.0,2.738486093988864,-24.04391711398351,106.171293827497,95.85606604281796,104.74602208754068
80.0,41.38576956057537,5.8321724132054085,81.05401430494798,102.89880737484934,146.27494865606144
90.0,3.381729694676273,-21.45973837115816,77.67948110118353,79.02080790892039,117.6814550971314
100.0,2.452551958305156,-25.470882793437852,89.8530219595485,95.20862630965956,122.4756832275298
110.0,2.7803046107218496,-26.420594542465988,80.3202477973217,86.86194173321121,124.95015376867364
120.0,3.0681344874477205,-26.61656983967748,57.191788062880754,62.06507089104028,125.3767013806459
130.0,4.958849569019801,-21.08281264106068,29.32553699457499,31.70130488537742,124.90125811659787
140.0,1.986263993580389,-21.85310966674208,58.85632179363802,41.301119940886174,82.17957116694619
150.0,2.3192314744095133,-20.525954595371648,65.43768682352939,50.08615726743718,89.28675158253832
10.0,1.173459862741393,42.53266972431386,77.83272672474251,54.16763771464262,81.88591911985156
20.0,5.810372989393189,-21.21348682365352,47.70371336648378,75.8025573452191,183.2744928414876
30.0,4.655169755542971,-23.54123107968039,73.40248391486375,119.08489683141916,187.0633682346821
40.0,5.4040770316264775,-20.587335010561887,41.645095379903296,67.85085609913564,187.8486519797024
50.0,27.289033611190032,-7.516431828725092,79.44318564904593,52.31976319375517,77.72866623951475
60.0,25.32990332666712,7.949243056576727,72.96444679920688,63.45239353160671,101.43218339419752
70.0,75.46518731853234,4.4042357649160095,79.12065028329941,84.74104383433206,124.29937507308958
80.0,3.756876225761728,-19.774386031287985,100.13466840143192,96.81831117439944,112.45909558952296
90.0,3.669870514318671,-20.04886088345672,108.70756365376565,112.42281552380288,120.10673786118672
100.0,3.617631955489203,-20.570557893287557,108.67997915560515,118.76039979830124,126.77065739842448
110.0,5.469725557455346,-14.789548500925866,32.25513190923043,61.5661205803265,219.54619100705895
120.0,3.967457809353221,-22.32289268859401,71.20375369201321,83.55395115470402,135.95768514379628
130.0,5.701250117334733,-19.60446417045951,31.4659752712278,37.39992339253275,137.681265351685
140.0,1.824426363876064,-21.57683283265889,55.789704459226144,35.671718605526756,75.60568938750113
150.0,3.0200319218792413,-19.068439302877508,39.67721434211031,27.88129601438179,82.63986390128143
10.0,2.6679379251700284,30.38861334393698,72.45739413995095,55.240673821638616,88.09043319135685
20.0,4.922467192643872,-23.313413578018647,66.47841309539497,103.70380918620243,177.43158600319794
30.0,4.5728689241128215,-23.16571073301385,66.23907730880045,105.01126485279416,180.27703921765843
40.0,41.7375391105156,-6.126053229617535,106.8584415857886,47.91202805137785,55.038585015301216
50.0,0.8946208701660829,-53.42750771561842,100.5586739254866,53.89956799186163,63.547855512506075
60.0,31.68507495540037,6.644858032889244,81.73276653228382,75.9655580893058,106.69343993598676
70.0,50.51698494821125,5.25483905256888,89.45003705372177,100.96433196361548,129.02305884638656
80.0,3.4751563674783315,-20.64523843196785,101.43346982692545,96.11312421566691,108.71865001391596
90.0,3.2645205521391163,-21.87272481710115,109.22377918469692,110.34274674718216,115.73741983019823
100.0,3.4231701482781904,-22.417498117044335,107.17816696626603,114.1018022078199,121.82972096374895
110.0,3.962116777608757,-20.551833221047985,63.09234753107968,70.24836187488701,127.30604032434428
120.0,4.249613936300866,-24.133262362862247,54.57804428536644,61.212442023355855,128.21902488267168
130.0,4.960542527699045,-23.06337367011392,35.41660503301618,39.48365665546113,127.46461782718444
140.0,1.798419961933046,-22.284556098922657,58.415731360231426,40.62935275100842,80.7113757048283
150.0,2.1482541022879658,-20.828407676485696,51.74205316873474,39.164396146903435,87.48452535535336
10.0,2.004023453802803,-34.060032348756444,74.97818122902909,54.61905904613732,85.88267016388227
20.0,1.6996768434961096,-35.3245258713397,76.629848071258,49.45815366488696,76.57357704656553
